time;value
1560;0.0020468151728966306
1920;0.001708086799413505
2280;0.001377022178477359
2640;0.001055499592121275
3000;7.453973223783335e-4
3360;4.485936512816149e-4
3720;1.6696686086420018e-4
4080;-1.0128522989732942e-4
4440;-3.5938095615359886e-4
4800;-6.075662670623365e-4
5160;-8.460871117812712e-4
5520;-0.0010751894394681316
5880;-0.0012951191992806462
6240;-0.0015061223403765437
6600;-0.00170502515818751
6960;-0.0018899292604765486
7320;-0.002062993564898369
7680;-0.002226376989107678
8040;-0.0023822384507591826
8400;-0.0025327368675075916
8760;-0.002680031157007612
9120;-0.0028113547075383476
9480;-0.002918178161993964
9840;-0.00300901631995176
10200;-0.0030923839809890376
10560;-0.003176795944683096
10920;-0.0032707670106112354
11280;-0.0033554017444991577
11640;-0.003412392579910008
12000;-0.0034511361181772506
12391;-0.003483494736119759
12751;-0.003514419907001587
13111;-0.0035560967365216973
13471;-0.003617921826013556
13831;-0.0037169001680757976
14191;-0.0038523942616710363
14551;-0.0040073369676787134
14911;-0.004164661146978269
15271;-0.004307299660449139
15631;-0.004418185368970763
15991;-0.00448025113342258
16351;-0.00454251825652895
16711;-0.004649666843048625
17071;-0.004778117956912638
17431;-0.004904292662052022
17791;-0.005004612022397804
18151;-0.00505549710188102
18511;-0.005033368964432698
18871;-0.004950889985818772
19231;-0.004839956131600547
19591;-0.0047058388504021085
19951;-0.004553809590847547
20311;-0.004389139801560946
20671;-0.004217100931166395
21031;-0.004013390819127011
21391;-0.003759778208170045
21751;-0.003470640901815789
22111;-0.0031603567035845353
22471;-0.002843303416996573
22831;-0.0025338588455721947
23191;-0.00224640079283169
23551;-0.0019278855998757925
24031;-0.001389468342199041
24414;-9.048214879621301e-4
24774;-4.356530974747405e-4
25134;1.9704004260184788e-5
25494;4.3479798916538334e-4
25854;7.831770291635932e-4
26214;0.0010682263122375403
26574;0.001320392737014227
26934;0.0015538170413828066
27294;0.0017826399632324308
27654;0.0020210022404522523
28014;0.002283044610931425
28374;0.0025829078125590987
28734;0.0027474597870511537
29094;0.002681499061048354
29454;0.002516062249827183
29814;0.0023821859686641244
30174;0.002410906832835661
30534;0.002733261457618277
30894;0.003076895750705371
31254;0.003169774666931836
31614;0.0031434133922863972
31974;0.003129327112757779
32334;0.003259031014334708
32694;0.0036640402830059047
33054;0.004475870104760098
33414;0.005356103093074956
33774;0.006002404439695902
34134;0.006600413198013295
34494;0.0073357684214174915
34854;0.008394109163298847
35214;0.009961074477047716
35574;0.01179319886723339
36054;0.014186459653452523
36449;0.016251041509823302
36809;0.018315719464353546
37169;0.020648125955283717
37529;0.02333851586854972
37889;0.026477144090087466
38249;0.029896423787874615
38609;0.0334200930104749
38969;0.03712539396470335
39329;0.04108956885737502
39689;0.04538985989530492
40049;0.05010350928530809
40409;0.055143014292323544
40769;0.060389561082558364
41129;0.06587342521472972
41489;0.07162488224755469
41849;0.07767420773975046
42209;0.08405167725003417
42449;0.088500576715688
42689;0.09309195893922494
42929;0.0978054297000932
43169;0.1026445904510937
43409;0.1076130426450272
43649;0.11271438773469453
43889;0.11795222717289645
44129;0.12333016241243383
44369;0.12886085485142196
44609;0.134548532611535
44849;0.14038414723091205
45089;0.14635865024769218
45329;0.15246299320001444
45569;0.158688127626018
45809;0.16502500506384182
46049;0.17154051175783094
46289;0.17827547455221496
46529;0.1851817558849603
46769;0.19221121819403325
47009;0.1993157239174001
47249;0.20644713549302707
47489;0.21379010809167864
47729;0.22148469106772248
47969;0.22941583813453
48089;0.23343417123739885
48346;0.24207551280671016
48586;0.25008676326923207
48826;0.2579237667073482
49066;0.2659242929975318
49306;0.27436636636573913
49546;0.28304532204956645
49786;0.29175649528660985
50026;0.3002952213144655
50266;0.30845683537072943
50506;0.31654854357862816
50746;0.3249294811535701
50986;0.33347287697142475
51226;0.3420519599080615
51466;0.35053995883934946
51706;0.35881010264115826
51946;0.366735620189357
52186;0.37450581849304204
52426;0.38234882223658057
52666;0.39019608680874845
52906;0.3979790675983218
53146;0.40562921999407636
53386;0.4130779993847882
53626;0.4202383867750365
53866;0.4271264898882733
54106;0.4338284541915839
54346;0.4404304251520535
54586;0.4470185482367673
54826;0.45367896891281057
55066;0.4604978326472684
55306;0.46744479731077593
55546;0.4744083509421161
55786;0.48135288426059664
56026;0.48824278798552556
56266;0.4950424528362101
56506;0.5017162695319582
56746;0.5082286287920775
56986;0.514753664523309
57226;0.5214260172258971
57466;0.528150837509405
57706;0.5348332759833957
57946;0.5413784832574322
58186;0.5476916099410775
58426;0.5536778066438948
58666;0.5594942229058734
58906;0.5653159495904503
59146;0.5710750492923605
59386;0.5767035846063391
59641;0.5824648535250829
59881;0.5876095396633394
60121;0.5925690868932192
60361;0.5974544959652089
60601;0.6022360110329021
60841;0.6068838762498922
61081;0.6113683357697725
61321;0.6156596337461367
61561;0.6197280143325781
61801;0.6236165245118122
62041;0.6273783502050794
62281;0.6309989439737603
62521;0.6344637583792357
62761;0.6377582459828867
63001;0.6408678593460935
63241;0.6438012535283647
63481;0.6465765696559632
63721;0.6491934893904027
63961;0.6516516943931964
64201;0.6539508663258573
64441;0.6560906868498989
64681;0.6580708376268344
64921;0.6598806407872955
65161;0.6615141547759197
65401;0.6629781657252289
65521;0.6636487282265536
65761;0.6648712086153691
65941;0.6656875949194766
