sec my.dat.aggr_15
30 0
60 0
90 0
120 0
150 0
180 0
210 0
240 0
270 0
300 0
330 0.35
360 1.05
390 1.5
420 1.5
450 1.5
480 1.6
510 1.65
540 1.6
570 1.65
600 1.6
630 1.65
660 1.8
690 1.7
720 1.7
750 1.7
780 1.65
810 1.7
840 1.7
870 1.8
900 1.65
930 1.65
960 1.7
990 1.7
1020 1.7
1050 1.6
1080 1.6
1110 1.6
1140 1.65
1170 1.6
1200 1.6
1230 1.75
1260 1.7
1290 1.65
1320 1.65
1350 1.7
1380 1.6
1410 1.7
1440 1.7
1470 1.6
1500 1.65
1530 1.6
1560 1.7
1590 1.7
1620 1.7
1650 1.65
1680 1.7
1710 1.7
1740 1.7
1770 1.7
1800 1.7
1830 1.65
1860 1.6
1890 1.7
1920 1.7
1950 1.7
1980 1.65
2010 1.75
2040 1.7
2070 1.5
2100 1.65
2130 1.6
2160 1.7
2190 1.7
2220 1.75
2250 1.65
2280 1.65
2310 1.65
2340 1.6
2370 1.7
2400 1.6
2430 1.65
2460 1.65
2490 1.7
2520 1.6
2550 1.5
2580 1.65
2610 1.65
2640 1.7
2670 1.65
2700 1.7
2730 1.7
2760 1.69999999999999
2790 1.60000000000001
2820 1.60000000000001
2850 1.65
2880 1.60000000000001
2910 1.7
2940 1.60000000000001
2970 1.75
3000 1.65000000000001
3030 1.59999999999999
3060 1.65
3090 1.60000000000001
3120 1.65
3150 1.65
3180 1.7
3210 1.6
3240 1.7
3270 1.65
3300 1.65000000000001
3330 1.65000000000001
3360 1.65
3390 1.65
3420 1.60000000000001
3450 1.69999999999999
3480 1.60000000000001
3510 1.6
3540 1.69999999999999
3570 1.6
3600 1.7
3630 1.60000000000001
3660 1.65
3690 1.65
3720 1.65000000000001
3750 1.65
3780 1.65000000000001
3810 1.7
3840 1.6
3870 1.7
3900 1.59999999999999
3930 1.6
3960 1.7
3990 1.65000000000001
4020 1.60000000000001
4050 1.6
4080 1.7
4110 1.6
4140 1.7
4170 1.7
4200 1.60000000000001
4230 1.65
4260 1.60000000000001
4290 1.7
4320 1.6
4350 1.6
4380 1.65
4410 1.65000000000001
4440 1.7
4470 1.6
4500 1.7
4530 1.60000000000001
4560 1.6
4590 1.7
4620 1.6
4650 1.74999999999999
4680 1.60000000000001
4710 1.6
4740 1.7
4770 1.65
4800 1.7
4830 1.6
4860 1.7
4890 1.7
4920 1.65000000000001
4950 1.69999999999999
4980 1.65
5010 1.7
5040 1.65000000000001
5070 1.64999999999999
5100 1.70000000000002
5130 1.59999999999999
5160 1.60000000000001
5190 1.64999999999999
5220 1.7
5250 1.65000000000001
5280 1.65000000000001
5310 1.74999999999999
5340 1.69999999999999
5370 1.75
5400 1.65000000000001
5430 1.65000000000001
5460 1.7
5490 1.59999999999999
5520 1.75
5550 1.7
5580 1.65000000000001
5610 1.75
5640 1.65000000000001
5670 1.59999999999999
5700 1.7
5730 1.65000000000001
5760 1.69999999999999
5790 1.64999999999999
5820 1.65000000000001
5850 1.79999999999998
5880 1.60000000000001
5910 1.60000000000001
5940 1.69999999999999
5970 1.69999999999999
6000 1.69999999999999
6030 1.59999999999999
6060 1.70000000000002
6090 1.59999999999999
6120 1.2
6150 1.3
6180 1.74999999999999
6210 1.64999999999999
6240 1.5
6270 1.69999999999999
6300 1.7
6330 1.8
6360 1.65000000000001
6390 1.55
6420 1.69999999999999
6450 1.69999999999999
6480 1.69999999999999
6510 1.64999999999999
6540 1.60000000000001
6570 1.7
6600 1.69999999999999
6630 1.65000000000001
6660 1.69999999999999
6690 1.59999999999999
6720 1.60000000000001
6750 1.69999999999999
6780 1.69999999999999
6810 1.69999999999999
6840 1.60000000000001
6870 1.59999999999999
6900 1.7
6930 1.7
6960 1.7
6990 1.59999999999999
7020 1.59999999999999
7050 1.8
7080 1.65000000000001
7110 1.55
7140 1.69999999999999
7170 1.69999999999999
7200 1.7
7230 1.65000000000001
7260 1.59999999999999
7290 1.74999999999999
7320 1.7
7350 1.64999999999999
7380 1.60000000000001
7410 1.59999999999999
7440 1.69999999999999
7470 1.69999999999999
7500 1.65000000000001
7530 1.65000000000001
7560 1.64999999999999
7590 1.65000000000001
7620 1.69999999999999
7650 1.59999999999999
7680 1.60000000000002
7710 1.7
7740 1.64999999999999
7770 1.69999999999999
7800 1.65000000000002
7830 1.69999999999999
7860 1.64999999999999
7890 1.59999999999999
7920 1.65000000000001
7950 1.7
7980 1.65000000000001
8010 1.65000000000001
8040 1.69999999999999
8070 1.69999999999999
8100 1.60000000000001
8130 1.59999999999999
8160 1.69999999999999
8190 1.69999999999999
8220 1.60000000000001
8250 1.75
8280 1.70000000000002
8310 1.59999999999999
8340 1.60000000000001
8370 1.65000000000001
8400 1.69999999999999
8430 1.65000000000001
8460 1.59999999999999
8490 1.64999999999999
8520 1.69999999999999
8550 1.65000000000002
8580 1.65000000000001
8610 1.69999999999999
8640 1.69999999999999
8670 1.60000000000001
8700 1.64999999999999
8730 1.84999999999999
8760 1.69999999999999
8790 1.55
8820 1.64999999999999
8850 1.69999999999999
8880 1.59999999999999
8910 1.60000000000001
8940 1.7
8970 1.75
9000 1.60000000000001
9030 1.5
9060 1.64999999999999
9090 1.59999999999999
9120 1.65000000000001
9150 1.69999999999999
9180 1.59999999999999
9210 1.60000000000001
9240 1.60000000000001
9270 1.64999999999999
9300 1.59999999999999
9330 1.59999999999999
9360 1.59999999999999
9390 1.30000000000001
9420 0.950000000000003
9450 0.450000000000003
9480 0
9510 0.0999999999999943
9540 0.199999999999989
9570 0.0999999999999943
9600 0
9630 0
9660 0
